Євгенія,Іваненко,yevheniya.ivanenko@student.org,2004,5,29,ZGR-70,98.419998,38(096)93-60-210
Євгенія,Білоус,yevheniya.bilous@student.org,1974,9,29,JCV-77,22.930000,38(097)36-87-873
Євгенія,Лисенко,yevheniya.lysenko@student.org,1954,3,21,SJF-89,94.879997,38(099)88-58-466
Іван,Василенко,ivan.vasylenko@student.org,1995,3,30,JBK-13,70.050003,38(095)87-27-223
Іван,Кравченко,ivan.kravchenko@student.org,1970,8,13,NXE-49,94.230003,38(050)76-70-965
Ігор,Іваненко,ihor.ivanenko@student.org,1982,10,27,GBU-57,38.799999,38(050)18-62-192
Ігор,Бойко,ihor.boyko@student.org,1986,9,12,OVL-88,77.339996,38(050)17-40-490
Ігор,Коваленко,ihor.kovalenko@student.org,1969,4,2,BJY-31,89.739998,38(097)54-68-817
Інна,Гайдук,inna.hayduk@student.org,1978,11,23,QSA-67,97.650002,38(067)44-59-867
Ірина,Білоус,iryna.bilous@student.org,2006,4,16,WWQ-97,77.699997,38(095)16-86-314
Ірина,Василенко,iryna.vasylenko@student.org,1984,9,24,IQP-64,61.669998,38(093)77-23-458
Ірина,Омельченко,iryna.omelchenko@student.org,1983,5,18,GCU-67,44.230000,38(073)76-97-876
Алла,Гриценко,alla.hrytsenko@student.org,1969,2,20,WXL-20,13.550000,38(096)80-10-660
Алла,Петренко,alla.petrenko@student.org,1989,11,17,DHI-18,0.000000,38(066)76-74-873
Андрій,Ковальчук,andriy.kovalchuk@student.org,1958,10,8,XBO-96,58.009998,38(067)59-10-760
Анна,Гриценко,anna.hrytsenko@student.org,1991,6,10,SMK-44,30.809999,38(098)77-29-871
Анна,Литвин,anna.lytvyn@student.org,1994,11,16,IAZ-42,75.250000,38(066)43-21-944
Артем,Мельник,artem.melnyk@student.org,2000,2,15,WSV-75,23.700001,38(097)16-35-614
Артем,Новік,artem.novik@student.org,2000,6,15,JDK-31,14.490000,38(099)39-50-305
Артем,Панченко,artem.panchenko@student.org,2003,3,9,BOY-38,37.340000,38(093)67-82-467
Богдан,Білоус,bohdan.bilous@student.org,1993,4,21,EIO-63,20.920000,38(098)22-82-551
Валентина,Костенко,valentyna.kostenko@student.org,1963,9,12,SQB-29,75.309998,38(093)72-54-137
Валентина,Цимбал,valentyna.tsymbal@student.org,2004,11,13,ITD-13,74.910004,38(067)80-41-226
Василь,Білоус,vasyl.bilous@student.org,1972,7,27,XCF-76,81.430000,38(095)45-45-582
Василь,Кравченко,vasyl.kravchenko@student.org,1975,9,15,IDL-49,16.620001,38(096)16-35-468
Василь,Лебедь,vasyl.lebed@student.org,1971,5,16,WQW-96,9.580000,38(098)15-42-117
Вера,Іваненко,vera.ivanenko@student.org,2010,11,19,YFX-15,75.080002,38(068)36-81-827
Вера,Шевченко,vera.shevchenko@student.org,1965,7,14,UDA-50,63.560001,38(096)25-62-240
Володимир,Кравченко,volodymyr.kravchenko@student.org,1950,12,20,JMT-40,48.520000,38(073)36-84-164
Володимир,Лебедь,volodymyr.lebed@student.org,1984,3,19,GNP-66,96.430000,38(068)55-13-302
Володимир,Лисенко,volodymyr.lysenko@student.org,1985,11,12,GTU-63,13.840000,38(063)55-16-550
Віктор,Гладко,viktor.hladko@student.org,1961,3,21,BGB-34,87.910004,38(098)40-15-969
Віктор,Коваль,viktor.koval@student.org,1982,8,19,BGD-91,89.809998,38(097)86-94-397
Вікторія,Король,viktoriya.korol@student.org,2006,1,31,ZEV-93,81.559998,38(066)74-87-785
Вікторія,Цимбал,viktoriya.tsymbal@student.org,1969,1,27,ITI-56,33.430000,38(096)61-92-975
Віталій,Новік,vitaliy.novik@student.org,1977,12,4,EJE-20,1.290000,38(098)76-16-556
Галина,Авраменко,halyna.avramenko@student.org,1967,11,5,CZT-77,35.930000,38(097)43-41-380
Галина,Бойко,halyna.boyko@student.org,1979,6,12,DYS-79,65.900002,38(098)77-66-918
Галина,Ковальчук,halyna.kovalchuk@student.org,1966,9,22,IRD-30,40.810001,38(095)19-14-497
Ганна,Гордієнко,hanna.hordiyenko@student.org,1954,10,16,UGG-87,87.650002,38(093)65-73-667
Ганна,Цимбал,hanna.tsymbal@student.org,2001,2,3,NXE-49,31.690001,38(099)73-46-476
Ганна,Шевчук,hanna.shevchuk@student.org,1983,8,2,XKQ-72,6.830000,38(096)31-72-508
Григорій,Козлов,hryhoriy.kozlov@student.org,1960,12,13,UPF-31,78.809998,38(097)70-33-199
Григорій,Романенко,hryhoriy.romanenko@student.org,1974,2,17,IFO-79,69.910004,38(096)85-46-571
Денис,Шевчук,denys.shevchuk@student.org,2002,5,15,GNN-28,16.709999,38(066)62-33-620
Дмитро,Гладко,dmytro.hladko@student.org,1995,8,9,LTJ-55,27.340000,38(063)74-58-940
Катерина,Гриценко,kateryna.hrytsenko@student.org,1966,2,12,PZC-90,74.550003,38(097)17-87-850
Катерина,Лебедь,kateryna.lebed@student.org,1998,10,9,PBP-16,85.930000,38(096)58-28-471
Катерина,Михайленко,kateryna.mykhaylenko@student.org,1958,8,5,HLM-48,94.930000,38(068)53-43-993
Костянтин,Новік,kostyantyn.novik@student.org,1952,7,13,EHH-99,12.010000,38(063)31-73-386
Костянтин,Поліщук,kostyantyn.polishchuk@student.org,1977,8,21,WMT-69,82.480003,38(063)91-64-891
Лариса,Василенко,larysa.vasylenko@student.org,2010,5,27,DUP-41,16.209999,38(068)44-52-284
Лариса,Стельмах,larysa.stelmakh@student.org,1958,3,17,ZXE-12,47.099998,38(068)55-50-930
Лариса,Шаповал,larysa.shapoval@student.org,1986,9,7,ZNU-80,3.230000,38(073)20-11-125
Любов,Марченко,lyubov.marchenko@student.org,1986,7,2,VET-47,40.849998,38(066)19-82-831
Людмила,Омельченко,lyudmyla.omelchenko@student.org,1992,3,16,MMI-15,15.720000,38(067)72-55-747
Людмила,Савченко,lyudmyla.savchenko@student.org,1959,7,11,FKA-97,93.349998,38(093)51-37-903
Людмила,Скрипка,lyudmyla.skrypka@student.org,1995,4,22,DCS-11,32.200001,38(095)11-18-440
Лілія,Гордієнко,liliya.hordiyenko@student.org,1991,6,29,WCV-17,61.380001,38(095)40-39-966
Максим,Ковальчук,maksym.kovalchuk@student.org,1970,1,2,IBD-78,85.830002,38(050)73-55-291
Максим,Лисенко,maksym.lysenko@student.org,1984,4,20,YYU-56,96.599998,38(093)26-60-958
Марія,Іваненко,mariya.ivanenko@student.org,2008,9,9,XPL-24,29.150000,38(050)93-48-895
Марія,Захарченко,mariya.zakharchenko@student.org,1990,10,9,OFD-84,46.049999,38(050)21-15-385
Марія,Омельченко,mariya.omelchenko@student.org,1968,10,10,SJL-57,83.029999,38(098)67-69-910
Михайло,Рибак,mykhaylo.rybak@student.org,2010,5,18,DTJ-21,20.680000,38(098)78-49-610
Надія,Гладко,nadiya.hladko@student.org,1986,6,6,KFS-31,56.110001,38(073)71-88-122
Надія,Демченко,nadiya.demchenko@student.org,1974,3,19,FOG-44,98.610001,38(068)84-71-237
Наталія,Бойко,nataliya.boyko@student.org,1967,7,11,QTK-28,35.520000,38(099)50-20-491
Наталія,Левченко,nataliya.levchenko@student.org,1959,7,30,RQA-27,64.290001,38(068)12-78-304
Наталія,Романенко,nataliya.romanenko@student.org,1983,7,17,NNG-38,9.510000,38(063)53-18-867
Оксана,Білоус,oksana.bilous@student.org,1980,9,12,QIP-28,21.730000,38(050)25-10-896
Оксана,Кравченко,oksana.kravchenko@student.org,1986,7,22,EUU-86,71.699997,38(073)15-42-636
Олександр,Демченко,oleksandr.demchenko@student.org,1976,5,19,OGM-36,5.680000,38(095)83-21-430
Олександр,Лебедь,oleksandr.lebed@student.org,1967,3,14,ZAI-54,11.710000,38(066)44-24-117
Олена,Костенко,olena.kostenko@student.org,2006,11,16,ZZL-26,33.009998,38(066)97-10-148
Олена,Панченко,olena.panchenko@student.org,1974,11,18,FKK-11,43.480000,38(097)14-79-891
Олена,Шевченко,olena.shevchenko@student.org,2010,3,16,OMJ-29,31.540001,38(068)71-35-258
Олеся,Коваль,olesya.koval@student.org,2002,3,23,RSM-38,82.949997,38(050)75-66-376
Олеся,Король,olesya.korol@student.org,1995,9,4,XES-22,61.349998,38(096)59-93-817
Олеся,Мельник,olesya.melnyk@student.org,1957,8,16,KGY-95,84.250000,38(066)69-21-537
Остап,Король,ostap.korol@student.org,1985,1,14,WWU-13,4.910000,38(096)10-61-977
Павло,Авраменко,pavlo.avramenko@student.org,1982,7,11,EHN-27,36.029999,38(099)12-97-212
Павло,Гайдук,pavlo.hayduk@student.org,1975,4,9,DHS-92,8.530000,38(068)12-34-790
Петро,Левченко,petro.levchenko@student.org,1959,2,23,IBZ-57,29.590000,38(050)42-89-673
Петро,Шевченко,petro.shevchenko@student.org,1956,12,7,IHT-89,28.209999,38(073)26-46-946
Петро,Шевчук,petro.shevchuk@student.org,1992,9,30,XDN-81,36.430000,38(073)78-78-705
Раїса,Гордієнко,rayisa.hordiyenko@student.org,1992,6,23,SWH-53,30.629999,38(050)26-42-493
Роман,Дорошенко,roman.doroshenko@student.org,1969,2,6,MAD-27,79.809998,38(073)50-20-683
Роман,Король,roman.korol@student.org,1988,7,5,ETZ-41,86.519997,38(073)57-90-803
Світлана,Гордієнко,svitlana.hordiyenko@student.org,1968,2,4,LPL-23,9.770000,38(073)58-57-161
Світлана,Гриценко,svitlana.hrytsenko@student.org,1962,3,7,RFI-24,44.500000,38(097)32-61-398
Світлана,Литвин,svitlana.lytvyn@student.org,1971,12,18,QIP-62,95.639999,38(067)70-71-455
Сергій,Руденко,serhiy.rudenko@student.org,1950,7,18,BRN-71,69.199997,38(066)72-43-110
Станіслав,Василенко,stanislav.vasylenko@student.org,1976,11,21,OSV-93,17.160000,38(063)12-21-707
Станіслав,Гладко,stanislav.hladko@student.org,1958,12,13,QCK-38,66.480003,38(096)63-36-382
Станіслав,Зайцев,stanislav.zaytsev@student.org,1980,2,2,VCH-57,74.800003,38(095)10-48-687
Тарас,Дорошенко,taras.doroshenko@student.org,1970,8,15,PIK-23,5.510000,38(095)15-10-468
Тарас,Левченко,taras.levchenko@student.org,1958,1,11,XAP-70,42.970001,38(097)88-40-557
Тетяна,Козлов,tetyana.kozlov@student.org,1963,8,7,ZPK-31,21.030001,38(050)85-59-480
Тетяна,Король,tetyana.korol@student.org,1975,1,22,EGB-60,48.320000,38(099)14-69-710
Тетяна,Мельник,tetyana.melnyk@student.org,1986,4,27,CJO-50,55.880001,38(067)74-65-365
Федір,Демченко,fedir.demchenko@student.org,2002,10,1,WGM-82,19.740000,38(096)92-43-536
Федір,Цимбал,fedir.tsymbal@student.org,1962,7,29,ECM-82,66.690002,38(095)98-25-807
Юлія,Дорошенко,yuliya.doroshenko@student.org,1963,4,9,TDY-78,88.480003,38(073)51-85-527
Юлія,Рибак,yuliya.rybak@student.org,2005,10,19,UFI-24,96.800003,38(068)96-90-907
Юрій,Литвин,yuriy.lytvyn@student.org,2007,12,4,CGL-49,10.340000,38(099)27-38-460
Юрій,Савченко,yuriy.savchenko@student.org,1963,1,2,YDG-56,23.059999,38(066)64-44-954
Юрій,Шаповал,yuriy.shapoval@student.org,1972,9,17,XML-10,24.059999,38(093)66-33-373
Ярослав,Король,yaroslav.korol@student.org,1955,10,18,IBG-59,65.639999,38(073)72-68-530
Ярослав,Левченко,yaroslav.levchenko@student.org,1971,5,9,XWJ-48,41.740002,38(097)25-46-287
